account	job	Site	name	GLCode	AFE	PO	Rep	description	startdate	stopdate	price	rate	
Hilcorp Energy Company	5000290	Mirando Line	Space Segment 64/64	4013050000000	761367	AFE: 761367	tracyp	modem s/n 063944 switch s/n 00g801345 Aqua Dulce	2007-12-05		300.00	Month
Hilcorp Energy Company	5000290	Mirando Line	Space Segment 64/64	4013050000000	761367	AFE: 761367	tracyp	modem s/n 080708 switch s/n 00g801531 Mirando	2007-12-05		300.00	Month
Hilcorp Energy Company	5001675	Kenedy TX	Space Segment 512/128	4013050000000			tracyp		2010-09-27		0.00	
Hilcorp Energy Company	5001675	Kenedy TX	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2010-09-27		0.00	
Hilcorp Energy Company	5001675	Kenedy TX	VSAT Terminal Internet Only	4013050000000			tracyp	VSAT-1251	2010-09-27		40.00	Day
J Brady Marine	5002060	Customer Office	Talkgroup, MSAT G2-TM	4043055000000			shawno	19843474 MTID #154817	2011-03-02		138.95	Month
J Brady Marine	5002061	MV Tradewind	Satellite TV, DirecTV-TM	4013055000000			shawno	6LF0174 card # 0017 8792 0865 	2011-06-24		8.00	day
J Brady Marine	5002061	MV Tradewind	Talkgroup, MSAT G2-TM	4043055000000			shawno	16411128 MTID #154738	2011-03-01		138.95	Month
J Brady Marine	5002061	MV Tradewind	Call Barring-TM	4045055000050			shawno		2011-03-01		12.00	Month
J Brady Marine	5002061	MV Tradewind	Phone number, MSAT G2-TM	4045055000050			shawno	8662157889	2011-03-01		20.00	Month
J Brady Marine	5002062	MV Leeza Rene	Talkgroup, MSAT G2-TM	4043055000000			shawno	16408090 MTID #154765	2011-03-01		138.95	Month
J Brady Marine	5002062	MV Leeza Rene	Phone number, MSAT G2-TM	4045055000050			shawno	8775642613	2011-03-01		20.00	Month
J Brady Marine	5002062	MV Leeza Rene	Call Barring-TM	4045055000050			shawno		2011-03-01		12.00	Month
J Brady Marine	5002233	MV Gulf Ranger	Call Barring	4045050000050			shawno	337-365-6494 713-422-5342 337-898-2104 713-403-5537 713-204-9466 985-414-0465 508-922-0528 985-637-7160 985-665-1397	2011-06-02		12.00	month
J Brady Marine	5002233	MV Gulf Ranger	Talkgroup, MSAT G2-TM	4043055000000			shawno	16409896 MTID # 157401 866-292-7704	2011-05-03		138.95	Month
JNB Operatiing	5002063	MV Angela	Phone Number, Iridium-TM	4045055000050			shawno	4804568066	2011-03-01		55.00	Month
JNB Operatiing	5002064	MV Miss Caroline	Phone Number, Iridium-TM	4045055000050			shawno	4804567501	2011-03-01		55.00	Month
JNB Operatiing	5002065	MV Judy Francis	Phone Number, Iridium-TM	4045055000050			shawno	4804589221	2011-03-01		55.00	Month
JNB Operatiing	5002066	MV Wildcat	Phone Number, Iridium-TM	4045055000050			shawno	4804567649	2011-03-01		55.00	Month
JNB Operatiing	5002067	MV Miss Bet	Phone Number, Iridium-TM	4045055000050			shawno	4802635932	2011-03-01		55.00	Month
JNB Operatiing	5002070	MV Mr Lloyd	Phone Number, Iridium-TM	4045055000050			shawno	4804567469	2011-03-01		55.00	Month
KMB Vessels	5002052	MV Ms Taylor	Phone Number, Iridium-TM	4045055000050			shawno	4802635251	2011-03-01		55.00	Month
KMB Vessels	5002072	MV Marc C	Phone number, Inmarsat-TM	4045055000050			admin	4802636945	2011-03-01		55.00	Month
L&M Botruc	5002073	MV Botruc 41	Space Segment 1024/512	4013050000000			shawno	Newcom X5 modem 068622	2011-06-01		150.00	day
L&M Botruc	5002073	MV Botruc 41	Space Segment 1024/512	4013050000000			shawno	Newcom X5 modem 068622	2011-06-01		150.00	day
L&M Botruc	5002073	MV Botruc 41	Switch, Ethernet 8 Port-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Switch, Ethernet 8 Port-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8558 	2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8558 	2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8559 	2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8559 	2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Fax Machine-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Fax Machine-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	VSAT Terminal Gilat-TM	4013055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	VSAT Terminal Gilat-TM	4013055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	VSAT dish, Azimuth 1m-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	VSAT dish, Azimuth 1m-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8524 fax 	2011-03-01		0.00	
L&M Botruc	5002073	MV Botruc 41	Phone Number, Houma-TM	4045055000050			shawno	985-772-8524 fax 	2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	Phone Number, New Orleans-TM	4045055000050			shawno	985-772-8547 	2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 985-746-4841	2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	Fax Machine-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	VSAT dish, Azimuth 1m-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	Switch, Ethernet 8 Port-TM	4043055000000			shawno		2011-03-01		0.00	
L&M Botruc	5002074	MV Botruc 40	Phone Number, New Orleans-TM	4045055000050			shawno	985-772-8548	2011-03-01		0.00	
L&M Botruc	5002074 ***	MV Botruc 40	VSAT Terminal Standard-TM	4013055000000			shawno	Modem 115723	2011-07-20		0.00	
L&M Botruc	5002074 ***	MV Botruc 40	Space Segment 1024/512-TM	4013055000000			shawno		2011-07-20		2950.00	month
L&M Botruc	5002075	Sim card rental	Phone Number, Iridium-TM	4045055000050			shawno	SIM #8988169414001188588 4802635254	2011-03-01		55.00	Month
L&M Botruc	5002075	Sim card rental	Phone Number, Iridium-TM	4045055000050			shawno	SIM #8988169414001188596 4802635255	2011-03-01		55.00	Month
L&M Botruc	5002075	Sim card rental	Phone Number, Iridium-TM	4045055000050			shawno	SIM #8988169414001188604 4802635256	2011-03-01		55.00	Month
L&M Botruc	5002279	MV C-truc 4	Phone Number, Houma-TM	4045055000050			shawno	9857728545	2011-06-30		0.00	
L&M Botruc	5002279	MV C-truc 4	Phone Number, Houma-TM	4045055000050			shawno	9857728544	2011-06-30		0.00	
L&M Botruc	5002279	MV C-truc 4	Space Segment 256/128-TM	4013055000000			shawno		2011-06-30		2215.00	month
L&M Botruc	5002279	MV C-truc 4	VSAT Dish, KVH V7-TM	4043055000000			shawno		2011-06-30		0.00	
L&M Botruc	5002279	MV C-truc 4	VSAT Terminal Standard-TM	4013055000000			shawno	VSAT-5004	2011-06-30		0.00	
L&M Botruc	5002280	MV C-truc 5	Fax Machine-TM	4043055000000			shawno	FAX-2134	2011-06-21		0.00	
L&M Botruc	5002280	MV C-truc 5	Computer, LAPTOP-TM	4043055000000			shawno	gzz593NB501595, customer owned	2011-06-21		0.00	
L&M Botruc	5002280	MV C-truc 5	VSAT Terminal Standard-TM	4013055000000			shawno	VSAT-5015	2011-06-21		0.00	
L&M Botruc	5002280	MV C-truc 5	VSAT Dish, KVH V7-TM	4043055000000			shawno		2011-06-21		0.00	
L&M Botruc	5002280	MV C-truc 5	Space Segment 256/128-TM	4013055000000			shawno		2011-06-21		2215.00	month
L&M Botruc	5002280	MV C-truc 5	Phone Number, Houma-TM	4045055000050			shawno	9857728535	2011-06-21		0.00	
L&M Botruc	5002280	MV C-truc 5	Phone Number, Houma-TM	4045055000050			shawno	9857728536	2011-06-21		0.00	
LH Fournier & Associates, Inc.	5002050	MV Lanie Marie	Phone Number, Iridium-TM	4045055000050			shawno	4802637041	2011-03-01		55.00	Month
LLOG Exploration	5000087	WC-31 Prod.	Space Segment 512/128	4013050000000			tracyp		2007-06-23		1500.00	Month
LLOG Exploration	5000087	WC-31 Prod.	Phone Number, Lafayette	4045050000050			tracyp	3372109515	2007-06-23		0.00	
LLOG Exploration	5000087	WC-31 Prod.	Phone Number, Lafayette	4045050000050			tracyp	3372109516	2007-06-23		0.00	
LLOG Exploration	5000096	HI 170	2-Way Radio, VHF Mobile	4043050000000			tracyp	MOB-5005	2009-05-05		228.00	Month
LLOG Exploration	5000096	HI 170	Space Segment 512/128	4013050000000			tracyp		2007-07-15		1500.00	Month
LLOG Exploration	5000096	HI 170	Phone Number, Lafayette	4045050000050			tracyp	3372109514	2007-07-15		0.00	
LLOG Exploration	5000096	HI 170	Phone Number, Lafayette	4045050000050			tracyp	3372109513	2007-07-15		0.00	
M2M Data Corporation	5002079		Phone Number, BGAN-TM	4045055000050		3188	shawno	SIM #898709910412479389 772393983	2011-03-01		46.20	Month
M2M Data Corporation	5002079		Static Ip Address, BGAN-TM	4043055000000		3188	shawno		2011-03-01		26.60	Month
M2M Data Corporation	5002080		Phone Number, BGAN-TM	4045055000050			shawno	SIM #898709908412337431 772181758	2011-03-01		46.20	Month
M2M Data Corporation	5002080		Static Ip Address, BGAN-TM	4043055000000			shawno		2011-03-01		26.60	Month
M2M Data Corporation	5002081		Static Ip Address, BGAN-TM	4043055000000		3122	shawno		2011-03-01		26.60	Month
M2M Data Corporation	5002081		Phone Number, BGAN-TM	4045055000050		3122	shawno	SIM #898700910412474087 772393576	2011-03-01		46.20	Month
Maritech Resources Inc	5002085	HIA560	VSAT Terminal Standard-TM	4013055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002085	HIA560	VSAT Dish, 1.2M Fixed-TM	4043055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002085	HIA560	Space Segment 256/128-TM	4013055000000			stevel		2011-03-01		1500.00	Month
Maritech Resources Inc	5002085	HIA560	Fax Machine-TM	4043055000000			stevel		0000-00-00		0.00	
Maritech Resources Inc	5002085	HIA560	Phone Number, Lafayette-TM	4045055000050			stevel	3372050245	2011-03-01		0.00	
Maritech Resources Inc	5002085	HIA560	Phone Number, Vendor Provided-TM	4045055000050			stevel	Fax 3372057943	2011-03-01		0.00	
Maritech Resources Inc	5002085	HIA560	Phone Number, Lafayette-TM	4045055000050			stevel	3372050246	2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	VSAT Terminal Gilat-TM	4013055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	VSAT Dish, 1.2M Fixed-TM	4043055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	Phone Number, Lafayette-TM	4045055000050			stevel	3372050882	2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	Phone Number, Lafayette-TM	4045055000050			stevel	3372050883	2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	Phone Number, Vendor Provided-TM	4045055000050			stevel	Fax 3372059023	2011-03-01		0.00	
Maritech Resources Inc	5002087	EI129	Space Segment 1024/512-TM	4013055000000			stevel		2011-03-01		2300.00	Month
Maritech Resources Inc	5002087	EI129	Phone Number, Lafayette-TM	4045055000050			stevel	3372050881	2011-03-01		0.00	
Maritech Resources Inc	5002088	VR252	VSAT Dish, 1.2M Fixed-TM	4043055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002088	VR252	Space Segment 512/256-TM	4013055000000			stevel		2011-03-01		2000.00	Month
Maritech Resources Inc	5002088	VR252	VSAT Terminal Standard-TM	4013055000000			stevel	Modem: 113831	2011-03-01		0.00	
Maritech Resources Inc	5002088	VR252	Phone Number, Lafayette-TM	4045055000050			stevel	3372050878	2011-03-01		0.00	
Maritech Resources Inc	5002088	VR252	Phone Number, Lafayette-TM	4045055000050			stevel	3372050879	2011-03-01		0.00	
Maritech Resources Inc	5002088	VR252	Phone Number, Vendor Provided-TM	4045055000050			stevel	Fax 3372059024	2011-03-01		0.00	
Maritech Resources Inc	5002089	VR250	VSAT Dish, 1.2M Fixed-TM	4043055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002089	VR250	VSAT Terminal Gilat-TM	4013055000000			stevel		2011-03-01		0.00	
Maritech Resources Inc	5002089	VR250	Space Segment 1024/512-TM	4013055000000			stevel		2011-03-01		2300.00	Month
Maritech Resources Inc	5002089	VR250	Phone Number, Lafayette-TM	4045055000050			stevel	3372050886	2011-03-01		0.00	
Maritech Resources Inc	5002089	VR250	Phone Number, Lafayette-TM	4045055000050			stevel	3372050885	2011-03-01		0.00	
Maritech Resources Inc	5002089	VR250	Phone Number, Vendor Provided-TM	4045055000050			stevel	Fax 3372059022	2011-03-01		0.00	
Maritech Resources Inc	5002095	MV Greg Danos	Phone number, MSAT G2-TM	4045055000050			stevel	8773039878	2011-03-01		20.00	Month
Maritech Resources Inc	5002095	MV Greg Danos	Satellite Phone, MSAT G2-TM	4043055000000			stevel	MTID#154756	2011-03-01		500.00	Month
Mark & Emmett Marine	5002096	Mark Bruce&#039;s phone	Phone Number, Iridium-TM	4045055000050			shawno	SIM #8988169514000419817 881651465006	2011-03-01		55.00	Month
Master Jimbo Inc	5002133	MV Master Jimbo	Satellite Phone, Irridium-TM	4043055000000			shawno	SIM#8988169414001188653 4082635370	2011-03-01		55.00	Month
Matagorda Island Gas Operations, LLC	5002000	MI 632A	VSAT Terminal Standard-TM	4013055000000		SO #1114	stevel	Modem: 54842	2011-03-01		0.00	
Matagorda Island Gas Operations, LLC	5002000	MI 632A	VSAT Dish, 1.2M Fixed-TM	4043055000000		SO #1114	stevel		2011-03-01		0.00	
Matagorda Island Gas Operations, LLC	5002000	MI 632A	Space Segment 256/128-TM	4013055000000		SO #1114	stevel		2011-03-01		1550.00	Month
Mid-South Computer Networking INC	5002404	MV Seacor Charles F. McCall	Phone Number, Vendor Provided	4045050000050			waltm	0116531581733	2011-06-01			
Mid-South Computer Networking INC	5002404	MV Seacor Charles F. McCall	Phone Number, Vendor Provided	4045050000050			waltm	9857464809	2011-06-01			
Mid-South Computer Networking INC	5002404	MV Seacor Charles F. McCall	Space Segment 256/128	4013050000000			waltm		2011-06-01		1795.00	month
Mid-South Computer Networking INC	5002404	MV Seacor Charles F. McCall	VSAT Dish, KVH V7	4043050000000			waltm	091200003 Customer owned 	2011-06-01			
Mid-South Computer Networking INC	5002404	MV Seacor Charles F. McCall	VSAT Terminal Standard	4013050000000			waltm	modem 144109250918 Customer owned	2011-06-01			
Mid-South Computer Networking INC	5002405	MV Seacor Chief Bayou KuKu	Phone Number, Vendor Provided	4045050000050			waltm	0116531581737	2011-06-01			
Mid-South Computer Networking INC	5002405	MV Seacor Chief Bayou KuKu	Phone Number, Vendor Provided	4045050000050			waltm	9857464791	2011-06-01			
Mid-South Computer Networking INC	5002405	MV Seacor Chief Bayou KuKu	Space Segment 256/128	4013050000000			waltm		2011-06-01		1795.50	month
Mid-South Computer Networking INC	5002405	MV Seacor Chief Bayou KuKu	VSAT Dish, KVH V7	4043050000000			waltm	100302711 Customer owned	2011-06-01			
Mid-South Computer Networking INC	5002405	MV Seacor Chief Bayou KuKu	VSAT Terminal Standard	4013050000000			waltm	144109250936	2011-06-01			
Mid-South Computer Networking INC	5002406	MV Seacor Heimdal	Phone Number, Vendor Provided	4045050000050			waltm	9857464785	2011-06-01			
Mid-South Computer Networking INC	5002406	MV Seacor Heimdal	Phone Number, Vendor Provided	4045050000050			waltm	9857464826	2011-06-01			
Mid-South Computer Networking INC	5002406	MV Seacor Heimdal	Space Segment 512/256	4013050000000			waltm		2011-06-01		2695.50	month
Mid-South Computer Networking INC	5002406	MV Seacor Heimdal	VSAT Dish, KVH V7	4043050000000			waltm	100500005 customer owned	2011-06-01			
Mid-South Computer Networking INC	5002406	MV Seacor Heimdal	VSAT Terminal Standard	4013050000000			waltm	144109391074 customer owned	2011-06-01			
Millennium Supply Boats, LLC	5002051	MV Joel Paul	Phone Number, Iridium-TM	4045055000050			shawno	4802637832	2011-03-01		55.00	Month
Monica Ann LLC	5002097	MV Monica Ann	Phone Number, Iridium-TM	4045055000050			shawno	SIM #898816951400041973 887651428636	2011-03-01		55.00	Month
Montco Offshore, Inc.	5002186	LB Paul	Phone Number, Houston	4045050000050			shawno	2819210751	2011-04-30		0.00	
Montco Offshore, Inc.	5002186	LB Paul	Fax Machine	4043050000000			shawno	FAX-2114	2011-04-30		12.00	Day
Montco Offshore, Inc.	5002186	LB Paul	Phone Number, Houston	4045050000050			shawno	2819210752	2011-04-30		0.00	
Montco Offshore, Inc.	5002186	LB Paul	VSAT Terminal Standard	4013050000000			shawno	VSAT-5007	2011-04-30		0.00	
Montco Offshore, Inc.	5002186	LB Paul	Space Segment 512/256	4013050000000			shawno		2011-04-30		4450.00	Month
Montco Offshore, Inc.	5002186	LB Paul	VSAT Dish, KVH V7	4043050000000			shawno		2011-04-30		0.00	
MR Zachary LLC	5002098	MV Mr Zachary	Phone Number, Iridium-TM	4045055000050			shawno	SIM #8988169514000419460 4807566449	2011-03-01		55.00	Month
MS Lauren LLC	5002099	MV Miss Lauren	Phone number, Inmarsat-TM	4045055000050			shawno	SIM #8988169514000419361 4802635788	2011-03-01		55.00	Month
MS Yvonne LLC	5002100	MV Miss Yvonne	Phone Number, Iridium-TM	4045055000050			admin	SIM #8988169224000450636 4802637629	2011-03-01		55.00	Month
Murphy Exploration and Production	5000002	Madusa	Long Distance	4045050000053			tracyp	Irridium Airtime	2007-01-19		1.25	Minute
Murphy Exploration and Production	5000002	Madusa	Satellite Phone, Irridium	4043050000000			tracyp	9505A w/docking station MST-3102	2007-01-19		485.00	Month
Murphy Exploration and Production	5000002	Madusa	Phone Number, Iridium	4045050000050			tracyp	SIM#8988169414000161511 Direct Call 504-355-0138 881641448633	2007-01-19		0.00	
Murphy Exploration and Production	5000016	Front Runner	Long Distance	4045050000053	SRO# 7250244	AFE: SRO# 7250244	tracyp		2007-01-19		1.25	Minute
Murphy Exploration and Production	5000016	Front Runner	Satellite Phone, Irridium	4043050000000	SRO# 7250244	AFE: SRO# 7250244	tracyp	9505A w/docking station MST-3101	2007-01-19		485.00	Month
Murphy Exploration and Production	5000016	Front Runner	Phone Number, Iridium	4045050000050	SRO# 7250244	AFE: SRO# 7250244	tracyp	SIM#8988169414000160398Direct Call 504-355-0137 881641448634	2007-01-19		0.00	
Offshore Liftboats	5002110	LB Cameron	VSAT Dish, .96M Auto-Acquire-TM	4043055000000			shawno		2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	VSAT Terminal Standard-TM	4013055000000			shawno	Modem: 116499	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Space Segment 512/256-TM	4013055000000			shawno		2011-03-01		2500.00	Month
Offshore Liftboats	5002110	LB Cameron	Phone Number, New Orleans-TM	4045055000050			shawno	9857464440	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Phone Number, New Orleans-TM	4045055000050			shawno	9857464439	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Phone Number, New Orleans-TM	4045055000050			shawno	9857464441	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 9852353022	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 9852353023	2011-03-01		0.00	
Offshore Liftboats	5002110	LB Cameron	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 9852353021	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	VSAT Terminal Standard-TM	4013055000000			shawno	Modem: 115801	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	VSAT dish, Azimuth .85m-TM	4043055000000			shawno		2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Space Segment 256/128-TM	4013055000000			shawno		2011-03-01		2650.00	Month
Offshore Liftboats	5002112	LB Jonie	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 9854769323	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Phone Number, Houston-TM	4045055000050			shawno	7134422561	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Fax Machine-TM	4043055000000			shawno		2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax 7139604858	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Phone Number, New Orleans-TM	4045055000050			shawno	9857464444	2011-03-01		0.00	
Offshore Liftboats	5002112	LB Jonie	Phone Number, Houston-TM	4045055000050			shawno	7134422562	2011-03-01		0.00	
Orion	5000246	Ranch	VSAT Terminal Standard	4013050000000			admin		2007-11-01		0.00	
Orion	5000246	Ranch	Phone Number, Lafayette	4045050000050			admin	3372109506	2007-11-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone Number, Houma-TM	4045055000050			shawno	9857728555	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone Number, Houma-TM	4045055000050			shawno	9857728554	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	VSAT dish, Azimuth 1m-TM	4043055000000			shawno		2011-03-01		2600.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	VSAT Terminal Standard-TM	4013055000000			shawno	Modem: 103172	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Space Segment 512/256-TM	4013055000000			shawno		2011-03-01		1465.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Fax Machine-TM	4043055000000			shawno	Customer provides fax line from Houma	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Call Barring-TM	4045055000050			shawno		2011-03-01		10.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone Number, New Orleans-TM	4045055000050			shawno	9857464977	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Network Monitoring-TM	4021055000000			shawno		2011-03-01		200.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Satellite Phone, Irridium-TM	4043055000000			shawno	SIM #8988169514000416508	2011-03-01		210.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone Number, Iridium-TM	4045055000050			shawno	4804586456	2011-03-01		55.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Satellite Phone, MSAT G2-TM	4043055000000			shawno	MTID#117919	2011-03-01		300.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone, Bell Style Coinless-TM	4043055000000			shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Talkgroup, MSAT G2-TM	4043055000000			shawno		2011-03-01		71.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone Number, New Orleans-TM	4045055000050			shawno	9857464972	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone number, MSAT G2-TM	4045055000050			shawno	866-292-2902	2011-03-01		10.00	Month
OSFI/ Offshore Specialty	5002113	DB William Kallop	Phone, Bell Style Coinless-TM	4043055000000			shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002116	MV Capain Bill	Phone Number, Houma-TM	4045055000050			shawno	9857728551	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002116	MV Capain Bill	VSAT dish, Azimuth .85m-TM	4043055000000			shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002116	MV Capain Bill	VSAT Terminal Standard-TM	4013055000000			shawno	Modem: 103283	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002116	MV Capain Bill	Space Segment, 128/64-TM	4013055000000			shawno		2011-03-01		2000.00	Month
OSFI/ Offshore Specialty	5002116	MV Capain Bill	Phone Number, New Orleans-TM	4045055000050			shawno	9857469254	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002116	MV Capain Bill	Phone Number, Vendor Provided-TM	4045055000050			shawno	Fax Line 9857464843	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone Number, Houma-TM	4045055000050		SO #1266	shawno	9857728553	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone Number, Houma-TM	4045055000050		SO #1266	shawno	9857728552	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	VSAT dish, Azimuth 1m-TM	4043055000000		SO #1266	shawno		2011-03-01		2600.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	VSAT Terminal Standard-TM	4013055000000		SO #1266	shawno	Modem: 103277	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Space Segment 512/256-TM	4013055000000		SO #1266	shawno		2011-03-01		1465.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Talkgroup, MSAT G2-TM	4043055000000		SO #1266	shawno		2011-03-01		71.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Fax Machine-TM	4043055000000		SO #1266	shawno		0000-00-00		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone Number, New Orleans-TM	4045055000050		SO #1266	shawno	9857464976	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone Number, Iridium-TM	4045055000050		SO #1266	shawno	4804586454	2011-03-01		55.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Satellite Phone, Irridium-TM	4043055000000		SO #1266	shawno	SIM #8988169514000418561	2011-03-01		210.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Network Monitoring-TM	4021055000000		SO #1266	shawno		2011-03-01		200.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Satellite Phone, MSAT G2-TM	4043055000000		SO #1266	shawno	MTID#154849	2011-03-01		300.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Call Barring-TM	4045055000050		SO #1266	shawno		2011-03-01		10.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone Number, New Orleans-TM	4045055000050		SO #1266	shawno	9857464975	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone number, MSAT G2-TM	4045055000050		SO #1266	shawno	8772659141	2011-03-01		10.00	Month
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone, Bell Style Coinless-TM	4043055000000		SO #1266	shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002117	DB Swing Thompson	Phone, Bell Style Coinless-TM	4043055000000		SO #1266	shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002118	MV Offshore King	Phone Number, Houma-TM	4045055000050			shawno	9857728557	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002118	MV Offshore King	Space Segment, 128/64-TM	4013055000000			shawno		2011-03-01		2000.00	Month
OSFI/ Offshore Specialty	5002118	MV Offshore King	VSAT Terminal Standard-TM	4013055000000			shawno	Modem: 115793	2011-03-01		0.00	
OSFI/ Offshore Specialty	5002118	MV Offshore King	VSAT dish, Azimuth .85m-TM	4043055000000			shawno		2011-03-01		0.00	
OSFI/ Offshore Specialty	5002118	MV Offshore King	Phone Number, New Orleans-TM	4045055000050			shawno	9854644293	2011-03-01		0.00	
